Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"PCB","main board for soldering all the parts",1,10.00,"Custom-designed PCB","Custom Fabrication"
"Seeed XIAO RP2040","main controller",1,8.00,"https://robu.in/product/seeed-studio-xiao-rp2040-v1-0/","Robu.in"
"MX Switches","mechanical switches for the 3×3 keypad",9,5.40,"https://keychron.in/product/cherry-mx-switch-set/","Keychron"
"Keycaps","mounted on the switches",9,2.00,"https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/cherry-colour-pbt-keycap-set/","Meckeys"
"1N4148 Diodes","prevent ghosting in the key matrix",9,0.10,"https://quartzcomponents.com/products/1n4148-zener-diode","Quartz Components"
"0.91-inch OLED Display (128×32 I2C SSD1306)","displays status and information",1,4.00,"https://www.buydisplay.com/i2c-blue-0-91-inch-oled-display-module-128x32-arduino-raspberry-pi","BuyDisplay"
"5 mm LED","indicates device status / key presses",1,0.10,"https://robu.in/product/5mm-red-led-pack-of-10/","Robu.in"
"220 Ω Resistor","limits current through the LED",1,0.05,"https://robocraze.com/products/220-ohm-resistor-pack-of-10","RoboCraze"
"3D Printed Case","encloses and protects the device",1,5.00,"N/A","Local 3D Printing Service"
"TOTAL","","",34.65,"",""
